site_code,ISR,NDVI,HQ,ALAN
BJS,52.7444,0.455509615,0.312201074,44.72178595
DP4,1.4605,0.703059151,0.737778311,5.484285746
DSH,64.5023,0.423085571,0.22146784,40.04642786
FHS,17.8357,0.583316584,0.715205455,14.8108333
GL,63.3505,0.344177346,0,42.10884564
LHS,60.4917,0.487757871,0,41.53041681
LT,8.1042,0.650234788,0.758067966,10.3343749
MLS,4.2084,0.663063069,0.934499213,7.666333214
PH,43.5553,0.392164201,0.409704436,29.51499939
SZT,0.6005,0.651515303,0.947195563,4.455357075
SZW2,74.7596,0.231611167,0.039550503,41.06900101
TLJ,15.312,0.607679251,0.723583236,16.78906253
TLS,36.2493,0.553722795,0.550327389,21.73285743
TZS,61.8312,0.362007376,0.056002487,32.85653892
WT,18.3872,0.651806855,0.774551848,17.99499968
XH,1.4584,0.666875737,0.947838024,7.328928539
XL,6.6648,0.594137645,0.511538615,9.59892869
YHS,19.3309,0.591421926,0.721097746,19.45357166
YLW,40.4017,0.453739562,0.695430437,23.11571421
YTS,36.0309,0.525724362,0.391811315,31.12692385
YZL,50.272,0.436017837,0.189685133,30.96576925