,site_code,LAI_0to2,LAI_2to5,LAI_5to10,LAI_10to15,LAI_15to20,LAI_over20,height_range,height_diversity,mean_dbh,DBH0to5,DBH5to10,DBH10to30,DBH30to50,DBHover50,mean_crown_ratio,crown_cover,crown_vol_density,aggregation,angle_var,local_clustering
1,BJS,0,0.124504896,0.521421078,0.541864515,1.341191786,0.320602439,19.2,0.54553706,0.230570909,0.001699089,0.011465755,0.15005646,0.17353101,0.663247686,0.445250855,2.849584714,16.2817691,1.025257305,0.691885554,0.381919488
2,DP4,0,0.208451457,1.722980124,0.072530728,0,0,9.416,0.352091547,0.215551118,0.002167837,0.01277153,0.120414122,0.12310578,0.74154073,0.383875466,2.00396231,7.559988565,0.896372149,0.693263537,0.509584262
3,DSH,0,0.084952636,0.494017545,0.913710634,1.09116268,0,17.319,0.450572375,0.125176685,0.003067151,0.103993131,0.252151358,0.28012071,0.36066765,0.277644116,2.583843495,14.15906818,0.652325198,0.697706182,0.834847964
4,FHS,0,0.286093797,0.64866741,1.109424882,0.201372823,0,16.167,0.537370701,0.221691781,0.002462875,0.011792662,0.119564328,0.19579846,0.670381675,0.44696717,2.245558912,9.281088916,0.783327937,0.718924114,0.392426946
5,GL,0,0.076177753,0.177840756,0.995024068,0.571359627,0.100792916,19.581,0.548193587,0.24777193,0.001433982,0.00507428,0.093785008,0.097769399,0.801937331,0.455892271,1.92119512,10.52961462,0.768000836,0.761307132,0.736894907
6,LHS,0,0.462938105,0.682124848,0.235088398,0.148006275,1.740478744,24.024,0.816096174,0.224116854,0.002252918,0.008811017,0.116264272,0.16101204,0.711659753,0.49785987,3.26863637,17.53800223,0.906982251,0.697917247,0.463881803
7,LT,0,0.246614947,0.866410026,1.258868666,0.098405291,0,13.747,0.447531374,0.21124774,0.001761888,0.012577297,0.177935047,0.153537826,0.654187943,0.393082303,2.470298929,10.2960931,0.860236858,0.704989869,0.369482122
8,MLS,0,0.449156911,1.038024184,0.211370401,0,0,11.703,0.381851832,0.25487931,0.001741663,0.006509522,0.091839411,0.161512637,0.738396767,0.402987527,1.698551495,5.784844129,0.797592083,0.726727763,0.650969249
9,PH,0,0.474196286,0.609690395,1.188087739,0.39458933,0.011248554,19.305,0.606656948,0.203899281,0.003263463,0.012208844,0.150923421,0.180348786,0.653255486,0.403773105,2.677812304,11.76822277,0.967905907,0.695780756,0.468613314
10,SZT,0.000858053,0.574975362,1.748320961,0.301541755,0,0,10.388,0.417584279,0.177041958,0.00390979,0.021977424,0.211589821,0.235643893,0.526879072,0.315260055,2.625696131,8.222403472,0.977075923,0.686483459,0.369654428
11,SZW2,0,0.477902881,0.149112838,0.347422304,1.176086433,0.299258829,21.131,0.916984412,0.241658333,0.001881487,0.007898523,0.125646441,0.188461438,0.676112112,0.599136547,2.449783285,13.10188222,0.954755399,0.702424839,0.36251969
12,TLJ,0,0.322602557,0.421311114,0.85123224,0.857690501,0.264064827,20.627,0.63216277,0.247989399,0.001965178,0.007388034,0.096033489,0.169531868,0.725081433,0.391157646,2.71690124,13.54846377,0.88621604,0.695057039,0.419782119
13,TLS,0,0.341923786,0.706808607,1.194659725,0.23015971,0,17.662,0.519830573,0.216580524,0.002090499,0.012560584,0.169621461,0.232963401,0.582764056,0.436436992,2.473551827,9.463964264,0.89603695,0.697312073,0.414495988
14,TZS,0,0.434173481,0.767493273,0.43455798,1.188479459,0.514804565,21.343,0.706718307,0.215767442,0.002281244,0.013088275,0.122608935,0.158871922,0.703149624,0.406006686,3.339508758,15.55770678,0.887937363,0.701343205,0.443614886
15,WT,0,0.491313415,0.593632895,0.66073671,0.42252358,1.10353645,24.279,0.80832482,0.227519026,0.002059461,0.010185634,0.112512562,0.188020303,0.687222039,0.454661192,3.271743051,15.89701128,0.945972188,0.69673129,0.382076336
16,XH,0,0.277700404,0.712083284,0.920162276,0.773166289,0.17086622,21.007,0.637015553,0.222430272,0.002188865,0.010832988,0.12927177,0.178965083,0.678741295,0.408000782,2.853978474,13.29198242,0.877064636,0.694880173,0.478812745
17,XL,0,0.235058312,1.072599617,0.671756009,0.444030257,0.061292404,18.584,0.493712361,0.233629845,0.001758196,0.00788583,0.08530324,0.106838173,0.798214561,0.399889972,2.484736599,11.09336971,0.824786036,0.700454484,0.527972421
18,YHS,0,0.45022677,0.511091952,0.756483602,0.843865382,0.369962134,24.565,0.667070031,0.184180247,0.003442659,0.017579408,0.134021337,0.158787683,0.686168912,0.370684048,2.93162984,13.62432983,0.923368505,0.71752442,0.495645681
19,YLW,0,0.311512255,0.177949066,1.387887665,0.069643676,0,17.863,0.66531889,0.179648734,0.004657862,0.020529325,0.145915512,0.2363017,0.592595601,0.508718305,1.946992662,9.020496615,0.731885214,0.740948296,0.670389254
20,YTS,0,0.433458036,0.686167805,0.745733272,0.271157903,1.693706446,37.686,0.89041655,0.235554935,0.001361111,0.008445418,0.095080798,0.088733679,0.806378994,0.439811717,3.830223462,22.32865207,0.881631967,0.689539364,0.482019866
21,YZL,0,0.352051336,0.54415045,0.804741547,0.568262574,0.047893303,19.262,0.582790088,0.248816817,0.001342133,0.006563918,0.062260386,0.072203267,0.857630295,0.519363823,2.317099209,9.603548263,0.895657769,0.701374985,0.411072867